question,answer
How do I reset my password?,Visit the IT portal at it.concordia.ca and select Forgot Password.
Where is the registrar office?,The registrar office is located in the Hall Building room H-125.
How do I pay tuition?,Tuition can be paid online through the Student Hub finance portal at hub.concordia.ca.
How do I contact technical support?,Email iits@concordia.ca or call the IT helpdesk at 514-848-2424 ext. 7613.
What are the library hours?,The Webster Library is open Monday to Friday 8 AM to 10 PM and weekends 10 AM to 6 PM.
How do I register for courses?,Log into the Student Hub portal and navigate to Registration under the Academics section.
How can I apply for scholarships?,Visit the Financial Aid and Awards section on the Concordia website at concordia.ca/admissions/financial-support.
Where can I find my course schedule?,Your course schedule is available in the Student Hub under the My Schedule tab.
How do I drop a course?,Log into the Student Hub and navigate to Registration then select Drop Course before the deadline.
What is the deadline to withdraw from a course?,The deadline to withdraw without academic penalty is typically in the 10th week of the semester.
How do I access my student email?,Your Concordia student email is accessible at mail.concordia.ca using your student ID credentials.
Where is the student health center?,The Student Health and Wellness Center is located in the Hall Building room H-110.
How do I get a student ID card?,Visit the Birks Student Services Building with your acceptance letter and government-issued photo ID.
Can I defer my final exam?,Exam deferrals require a medical certificate or documented emergency. Submit a request through the Registrar.
How do I appeal a grade?,Submit a formal grade appeal to your department within 10 business days of receiving the grade.
What are the tuition payment deadlines?,Tuition for the Fall semester is due in late August and for the Winter semester in early January.
How do I apply for a leave of absence?,Contact the Registrar's office to request a Leave of Absence form and submit it before the semester starts.
Where can I find academic advisors?,Academic advisors are available in your faculty building. You can also book appointments through the Student Hub.
How do I request an official transcript?,Official transcripts can be ordered through the Student Hub under Academic Records for a fee.
What mental health services are available?,Concordia offers free counseling through the Health Services at the Hall Building. Call 514-848-2424 ext. 3555.
